framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,2048,2880,2880,4,128,2,1,balanced,0.6898399988810221
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,3072,2880,2880,4,128,2,1,balanced,0.9829973379770914
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,3072,2880,2880,4,128,2,1,balanced,0.9830400149027506
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,4096,2880,2880,4,128,2,1,balanced,1.0418186982472737
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,4096,2880,2880,4,128,2,1,balanced,1.043183962504069
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,6144,2880,2880,4,128,2,1,balanced,1.8832532564798992
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,6144,2880,2880,4,128,2,1,balanced,1.8867680231730144
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,8192,2880,2880,4,128,2,1,balanced,2.0010293324788413
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,8192,2880,2880,4,128,2,1,balanced,2.0067200660705566
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,12288,2880,2880,4,128,2,1,balanced,2.912485440572103
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,12288,2880,2880,4,128,2,1,balanced,2.9213921229044595
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,16384,2880,2880,4,128,2,1,balanced,3.870965321858724
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,16384,2880,2880,4,128,2,1,balanced,3.8784799575805664
