framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,1,2880,2880,4,32,2,1,balanced,0.0695306658744812
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,2,2880,2880,4,32,2,1,balanced,0.072543998559316
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,4,2880,2880,4,32,2,1,balanced,0.10256533821423848
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,8,2880,2880,4,32,2,1,balanced,0.14134400089581808
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,16,2880,2880,4,32,2,1,balanced,0.14203733205795288
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,32,2880,2880,4,32,2,1,balanced,0.14251200358072916
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,48,2880,2880,4,32,2,1,balanced,0.14495999614397684
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,1,2880,2880,4,32,2,1,balanced,0.069541335105896
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,64,2880,2880,4,32,2,1,balanced,0.14496533075968424
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,2,2880,2880,4,32,2,1,balanced,0.07277866701285045
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,80,2880,2880,4,32,2,1,balanced,0.16457600394884744
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,4,2880,2880,4,32,2,1,balanced,0.10240532954533894
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,96,2880,2880,4,32,2,1,balanced,0.16451733311017355
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,8,2880,2880,4,32,2,1,balanced,0.1409226655960083
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,128,2880,2880,4,32,2,1,balanced,0.16609600186347961
