framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,80,2880,2880,4,32,1,1,balanced,0.2656853397687276
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,96,2880,2880,4,32,1,1,balanced,0.2666719953219096
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,128,2880,2880,4,32,1,1,balanced,0.2672746578852336
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,160,2880,2880,4,32,1,1,balanced,0.3102399905522664
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,192,2880,2880,4,32,1,1,balanced,0.310261329015096
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,256,2880,2880,4,32,1,1,balanced,0.31016000111897785
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,320,2880,2880,4,32,1,1,balanced,0.31191466252009076
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,384,2880,2880,4,32,1,1,balanced,0.32873600721359253
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,512,2880,2880,4,32,1,1,balanced,0.33130667606989544
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,768,2880,2880,4,32,1,1,balanced,0.46382399400075275
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,1024,2880,2880,4,32,1,1,balanced,0.4673386812210083
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,1536,2880,2880,4,32,1,1,balanced,0.8637759685516357
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,2048,2880,2880,4,32,1,1,balanced,0.8812586466471354
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,3072,2880,2880,4,32,1,1,balanced,1.2605760097503662
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,4096,2880,2880,4,32,1,1,balanced,1.6743946075439453
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,6144,2880,2880,4,32,1,1,balanced,2.4539519945780435
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,8192,2880,2880,4,32,1,1,balanced,3.2509066263834634
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,12288,2880,2880,4,32,1,1,balanced,4.793562571207683
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,16384,2880,2880,4,32,1,1,balanced,6.3932749430338545
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,1,2880,2880,4,32,1,1,power_law_1.01,0.08663679957389832
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,2,2880,2880,4,32,1,1,power_law_1.01,0.10551680326461792
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,4,2880,2880,4,32,1,1,power_law_1.01,0.13578239679336548
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,8,2880,2880,4,32,1,1,power_law_1.01,0.14625920057296754
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,16,2880,2880,4,32,1,1,power_law_1.01,0.22260479927062987
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,32,2880,2880,4,32,1,1,power_law_1.01,0.2230976104736328
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,48,2880,2880,4,32,1,1,power_law_1.01,0.2505919933319092
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,64,2880,2880,4,32,1,1,power_law_1.01,0.2627264022827148
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,80,2880,2880,4,32,1,1,power_law_1.01,0.28263680934906005
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,96,2880,2880,4,32,1,1,power_law_1.01,0.2966655969619751
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,128,2880,2880,4,32,1,1,power_law_1.01,0.3123840093612671
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,160,2880,2880,4,32,1,1,power_law_1.01,0.35720961093902587
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,192,2880,2880,4,32,1,1,power_law_1.01,0.3643264055252075
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,256,2880,2880,4,32,1,1,power_law_1.01,0.3669312000274658
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,320,2880,2880,4,32,1,1,power_law_1.01,0.4051968097686768
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,384,2880,2880,4,32,1,1,power_law_1.01,0.4622528076171875
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,512,2880,2880,4,32,1,1,power_law_1.01,0.4872128009796143
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,768,2880,2880,4,32,1,1,power_law_1.01,0.6453248023986816
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,1024,2880,2880,4,32,1,1,power_law_1.01,0.7046016216278076
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,1536,2880,2880,4,32,1,1,power_law_1.01,0.9410752296447754
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,2048,2880,2880,4,32,1,1,power_law_1.01,1.092569637298584
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,3072,2880,2880,4,32,1,1,power_law_1.01,1.5012736320495605
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,4096,2880,2880,4,32,1,1,power_law_1.01,1.884934425354004
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,6144,2880,2880,4,32,1,1,power_law_1.01,2.6499200820922852
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,8192,2880,2880,4,32,1,1,power_law_1.01,3.4687103271484374
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,12288,2880,2880,4,32,1,1,power_law_1.01,4.998476791381836
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,16384,2880,2880,4,32,1,1,power_law_1.01,6.578553771972656
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,1,2880,2880,4,32,1,1,power_law_1.2,0.08556159734725952
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,2,2880,2880,4,32,1,1,power_law_1.2,0.10365439653396606
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,4,2880,2880,4,32,1,1,power_law_1.2,0.12805119752883912
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,8,2880,2880,4,32,1,1,power_law_1.2,0.14455679655075074
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,16,2880,2880,4,32,1,1,power_law_1.2,0.22200961112976075
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,32,2880,2880,4,32,1,1,power_law_1.2,0.22290558815002443
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,48,2880,2880,4,32,1,1,power_law_1.2,0.2575551986694336
VLLM,0.19.1,NVIDIA H200,moe,vllm_mxfp4_moe,w4a16_mxfp4,64,2880,2880,4,32,1,1,power_law_1.2,0.26520960330963134
